Study_Hours,Attendance,Previous_Score,Assignments_Completed,Sleep_Hours,Participation,Internet_Access,Extracurricular,Final_Result
6.4,82.2,93.5,10,8.8,6,Yes,Yes,Pass
2.5,63.0,71.6,8,6.8,10,No,Yes,Fail
5.5,95.3,100.0,3,7.1,8,Yes,Yes,Pass
3.4,77.0,76.5,7,5.3,4,Yes,No,Fail
2.9,91.4,41.6,6,6.1,2,Yes,No,Fail
4.3,82.1,79.3,5,6.3,5,Yes,No,Pass
2.4,83.5,73.7,8,6.4,2,Yes,Yes,Fail
3.4,84.8,87.3,9,8.3,2,Yes,Yes,Pass
2.1,83.4,78.1,5,7.5,6,Yes,No,Fail
8.4,85.7,65.9,5,5.5,10,No,No,Pass
4.6,93.9,49.6,3,7.1,9,Yes,Yes,Fail
3.1,80.4,64.9,6,7.4,4,Yes,Yes,Fail
4.9,86.5,55.2,7,8.2,6,Yes,No,Pass
4.3,76.9,59.3,10,8.7,7,Yes,Yes,Fail
4.1,95.3,76.8,4,5.6,6,Yes,Yes,Pass
5.7,69.9,93.0,4,5.8,8,Yes,Yes,Pass
6.0,99.6,73.9,5,5.3,4,Yes,No,Pass
3.4,77.5,50.1,10,6.5,1,Yes,No,Fail
3.3,60.8,74.7,10,7.4,7,Yes,No,Fail
3.9,79.5,85.9,6,8.0,3,No,No,Pass
0.5,69.8,58.9,9,6.7,6,Yes,No,Fail
1.5,88.1,66.0,9,6.4,2,Yes,Yes,Fail
7.2,70.2,68.2,8,7.0,9,Yes,No,Pass
7.8,72.6,56.2,3,5.8,1,Yes,Yes,Fail
4.0,55.3,77.7,6,9.3,6,Yes,No,Fail
5.7,72.6,66.2,6,4.9,6,Yes,Yes,Fail
5.1,48.9,74.3,3,7.0,5,Yes,Yes,Fail
10.0,59.0,54.7,10,9.2,5,Yes,Yes,Pass
6.7,87.1,61.4,9,6.8,1,Yes,Yes,Pass
4.2,87.4,78.8,9,6.6,10,Yes,Yes,Pass
2.6,83.1,62.4,10,6.4,5,Yes,Yes,Pass
1.3,66.4,93.9,9,6.6,2,Yes,No,Fail
4.9,77.4,62.0,5,8.4,7,Yes,Yes,Pass
3.0,78.0,71.4,6,4.1,3,Yes,No,Fail
1.7,64.1,82.0,4,8.6,4,Yes,No,Fail
3.2,96.0,46.7,3,5.1,3,Yes,No,Fail
2.3,88.5,41.6,9,6.5,3,Yes,No,Fail
7.9,75.3,45.1,8,6.3,4,Yes,No,Pass
6.3,78.3,86.9,9,7.5,5,Yes,Yes,Pass
4.5,80.5,59.7,9,4.9,1,Yes,Yes,Pass
7.5,53.5,100.0,7,7.4,4,Yes,Yes,Pass
4.7,75.0,59.5,5,9.2,8,Yes,No,Fail
2.8,69.8,70.8,3,5.2,10,Yes,No,Fail
7.5,66.0,91.1,7,7.0,7,Yes,Yes,Pass
5.6,74.6,98.1,7,6.0,9,Yes,Yes,Pass
2.4,99.6,98.9,8,7.3,5,Yes,No,Pass
4.1,85.7,86.1,6,6.8,10,No,Yes,Fail
2.7,71.1,83.4,8,6.0,4,Yes,No,Pass
1.7,84.9,76.9,6,7.4,8,Yes,No,Fail
